Symbol,Name,Status,Screenshot
ADANIENT.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764636957/indian_stocks_halal/ADANIENT.NS.png
M&M.NS,"-",NOT HALAL,No Image
ADANIPORTS.NS,"-",DOUBTFUL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764636972/indian_stocks_halal/ADANIPORTS.NS.png
KOTAKBANK.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764636980/indian_stocks_halal/KOTAKBANK.NS.png
EICHERMOT.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764636988/indian_stocks_halal/EICHERMOT.NS.png
SBIN.NS,"-",NOT HALAL,No Image
TECHM.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637003/indian_stocks_halal/TECHM.NS.png
HINDALCO.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637010/indian_stocks_halal/HINDALCO.NS.png
SUNPHARMA.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637018/indian_stocks_halal/SUNPHARMA.NS.png
RELIANCE.NS,"-",DOUBTFUL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637026/indian_stocks_halal/RELIANCE.NS.png
MAXHEALTH.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637034/indian_stocks_halal/MAXHEALTH.NS.png
HINDUNILVR.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637041/indian_stocks_halal/HINDUNILVR.NS.png
APOLLOHOSP.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637049/indian_stocks_halal/APOLLOHOSP.NS.png
TITAN.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637056/indian_stocks_halal/TITAN.NS.png
JSWSTEEL.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637064/indian_stocks_halal/JSWSTEEL.NS.png
BAJFINANCE.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637071/indian_stocks_halal/BAJFINANCE.NS.png
WIPRO.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637079/indian_stocks_halal/WIPRO.NS.png
TATASTEEL.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637086/indian_stocks_halal/TATASTEEL.NS.png
JIOFIN.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637095/indian_stocks_halal/JIOFIN.NS.png
HCLTECH.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637103/indian_stocks_halal/HCLTECH.NS.png
MARUTI.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637111/indian_stocks_halal/MARUTI.NS.png
LT.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637119/indian_stocks_halal/LT.NS.png
CIPLA.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637128/indian_stocks_halal/CIPLA.NS.png
HDFCBANK.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637135/indian_stocks_halal/HDFCBANK.NS.png
INDIGO.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637144/indian_stocks_halal/INDIGO.NS.png
ETERNAL.NS,"-",DOUBTFUL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637152/indian_stocks_halal/ETERNAL.NS.png
DRREDDY.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637161/indian_stocks_halal/DRREDDY.NS.png
ASIANPAINT.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637169/indian_stocks_halal/ASIANPAINT.NS.png
ITC.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637177/indian_stocks_halal/ITC.NS.png
TCS.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637184/indian_stocks_halal/TCS.NS.png
NTPC.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637192/indian_stocks_halal/NTPC.NS.png
BEL.NS,"-",DOUBTFUL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637200/indian_stocks_halal/BEL.NS.png
GRASIM.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637207/indian_stocks_halal/GRASIM.NS.png
COALINDIA.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637215/indian_stocks_halal/COALINDIA.NS.png
ONGC.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637224/indian_stocks_halal/ONGC.NS.png
TMPV.NS,"-",SKIPPED,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637229/indian_stocks_halal/TMPV.NS.png
NESTLEIND.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637238/indian_stocks_halal/NESTLEIND.NS.png
TRENT.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637246/indian_stocks_halal/TRENT.NS.png
ICICIBANK.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637255/indian_stocks_halal/ICICIBANK.NS.png
INFY.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637264/indian_stocks_halal/INFY.NS.png
AXISBANK.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637273/indian_stocks_halal/AXISBANK.NS.png
BAJAJFINSV.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637281/indian_stocks_halal/BAJAJFINSV.NS.png
ULTRACEMCO.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637290/indian_stocks_halal/ULTRACEMCO.NS.png
TATACONSUM.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637299/indian_stocks_halal/TATACONSUM.NS.png
BHARTIARTL.NS,"-",HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637307/indian_stocks_halal/BHARTIARTL.NS.png
POWERGRID.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637316/indian_stocks_halal/POWERGRID.NS.png
SBILIFE.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637324/indian_stocks_halal/SBILIFE.NS.png
SHRIRAMFIN.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637332/indian_stocks_halal/SHRIRAMFIN.NS.png
HDFCLIFE.NS,"-",NOT HALAL,https://res.cloudinary.com/ddwslxy4t/image/upload/v1764637340/indian_stocks_halal/HDFCLIFE.NS.png
